Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2015-02-27,28.688671112060547,19.007999420166016,28.029890060424805,78.66948699951172,37.92164993286133,0.5315045118331909,13.555999755859375
2015-03-02,28.829370498657227,19.283000946044922,28.647151947021484,79.44651794433594,37.94759750366211,0.5445150136947632,13.155332565307617
2015-03-03,28.889667510986328,19.230499267578125,28.834970474243164,79.29708862304688,37.428714752197266,0.534395694732666,13.303999900817871
2015-03-04,28.706539154052734,19.13599967956543,28.812053680419922,80.59214782714844,37.23845672607422,0.5404192209243774,13.496000289916992
2015-03-05,28.230850219726562,19.39150047302246,28.966495513916016,80.90096282958984,37.281700134277344,0.5507793426513672,13.375332832336426
2015-03-06,28.273279190063477,19.004499435424805,28.541534423828125,79.70552825927734,36.63309860229492,0.5433103442192078,12.925333023071289
2015-03-09,28.393884658813477,18.92799949645996,28.601316452026367,79.1376953125,37.05685043334961,0.5447559952735901,12.725333213806152
2015-03-10,27.806529998779297,18.475500106811523,27.891393661499023,77.25489807128906,36.347713470458984,0.5541523694992065,12.687999725341797
2015-03-11,27.299571990966797,18.318500518798828,27.68414306640625,77.27481079101562,36.30447006225586,0.5512613654136658,12.916000366210938
2015-03-12,27.793127059936523,18.711999893188477,27.9571533203125,78.62964630126953,35.4742546081543,0.5462014675140381,12.73799991607666
2015-03-13,27.601062774658203,18.52899932861328,27.550127029418945,77.75299835205078,35.78558349609375,0.5469242334365845,12.578666687011719
2015-03-16,27.90479278564453,18.667499542236328,27.98056983947754,77.77291107177734,35.941261291503906,0.5534297227859497,13.046667098999023
2015-03-17,28.371549606323242,18.59600067138672,27.779796600341797,79.05799865722656,36.06233215332031,0.5601757764816284,12.982000350952148
2015-03-18,28.690900802612305,18.756999969482422,28.205753326416016,80.60211944580078,36.754173278808594,0.5510204434394836,13.380666732788086
2015-03-19,28.47428321838379,18.66200065612793,28.081701278686523,82.43510437011719,36.572566986083984,0.5594529509544373,13.043333053588867
2015-03-20,28.11695671081543,18.92449951171875,28.145469665527344,83.48110961914062,37.082794189453125,0.5654767155647278,13.20533275604248
2015-03-23,28.40951156616211,18.75550079345703,28.16639518737793,84.10871124267578,37.065494537353516,0.5471652746200562,13.308667182922363
2015-03-24,28.29338264465332,18.704500198364258,28.77269744873047,84.98536682128906,37.100093841552734,0.5396963953971863,13.447999954223633
2015-03-25,27.554170608520508,18.54800033569336,28.247602462768555,82.60445404052734,35.854774475097656,0.5069291591644287,12.953332901000977
2015-03-26,27.746231079101562,18.36750030517578,28.0802059173584,82.69412231445312,35.63856887817383,0.5052425265312195,12.694000244140625
2015-03-27,27.52513313293457,18.527999877929688,27.77680778503418,82.9830093383789,35.43102264404297,0.515120804309845,12.333333015441895
2015-03-30,28.221925735473633,18.72949981689453,27.955657958984375,82.88338470458984,35.42237091064453,0.5172892808914185,12.704667091369629
2015-03-31,27.788660049438477,18.604999542236328,27.63482093811035,81.90711975097656,35.16292953491211,0.5042787790298462,12.584667205810547
2015-04-01,27.748464584350586,18.51300048828125,27.375263214111328,81.35920715332031,35.214813232421875,0.5062060952186584,12.505999565124512
2015-04-02,27.9874210357666,18.612499237060547,26.967741012573242,81.2496337890625,34.84294128417969,0.5074108839035034,12.733332633972168
2015-04-06,28.440776824951172,18.851999282836914,27.099262237548828,82.12628936767578,35.93260955810547,0.522107720375061,13.539999961853027
2015-04-07,28.14151954650879,18.720500946044922,27.14459800720215,82.00674438476562,35.91530227661133,0.5266857147216797,13.550000190734863
2015-04-08,28.04995346069336,19.059999465942383,27.342880249023438,81.9668960571289,35.8201789855957,0.5305407047271729,13.844667434692383
2015-04-09,28.26435089111328,19.177000045776367,27.302026748657227,81.85730743408203,35.87205505371094,0.5428285598754883,14.005999565124512
2015-04-10,28.384944915771484,19.13249969482422,27.32793426513672,81.7278060913086,36.07963180541992,0.5483700633049011,14.0600004196167
2015-04-13,28.329116821289062,19.118000030517578,27.332916259765625,82.69412231445312,36.11420822143555,0.5433103442192078,13.985333442687988
2015-04-14,28.206287384033203,19.25550079345703,26.891517639160156,83.2021713256836,36.01907730102539,0.5387327671051025,13.830666542053223
2015-04-15,28.31348419189453,19.172500610351562,26.954288482666016,82.39524841308594,36.54661178588867,0.5452379584312439,13.85533332824707
2015-04-16,28.17724609375,19.302000045776367,27.07784080505371,81.99678039550781,36.46012878417969,0.5418647527694702,13.779999732971191
2015-04-17,27.860130310058594,18.777999877929688,26.54078483581543,80.47259521484375,35.993141174316406,0.5348774790763855,13.78600025177002
2015-04-20,28.496612548828125,19.475500106811523,27.128156661987305,82.77381134033203,37.10873031616211,0.532227098941803,13.684666633605957
2015-04-21,28.34251594543457,19.55900001525879,27.047948837280273,83.30178833007812,36.87523651123047,0.5315045118331909,13.96066665649414
2015-04-22,28.72439956665039,19.489999771118164,27.359817504882812,84.30794525146484,37.177921295166016,0.5375279188156128,14.629332542419434
2015-04-23,28.958906173706055,19.499500274658203,27.772321701049805,82.09639739990234,37.48059844970703,0.5353595614433289,14.573332786560059
2015-04-24,29.09512710571289,22.2549991607666,28.579397201538086,81.21974182128906,41.398162841796875,0.5307817459106445,14.562000274658203
2015-04-27,29.624418258666992,21.92799949645996,28.203758239746094,81.59830474853516,41.53654861450195,0.5348774790763855,15.436667442321777
2015-04-28,29.15765953063965,21.465499877929688,28.116575241088867,80.37297821044922,42.513755798339844,0.5375279188156128,15.36533260345459
2015-04-29,28.728878021240234,21.4685001373291,27.96811294555664,80.16378784179688,42.427276611328125,0.5334319472312927,15.49666690826416
